metric,paper_base,reproduced_base,delta
micro_precision,0.71,0.39169573534376056,-0.3183042646562394
micro_recall,0.69,0.7534632034632035,0.06346320346320355
micro_f1,0.7,0.5154364403642556,-0.18456355963574433
macro_precision,0.65,0.3488324197549384,-0.30116758024506163
macro_recall,0.6,0.8479493880772826,0.24794938807728262
macro_f1,0.62,0.4401451412584949,-0.17985485874150509
weighted_precision,0.71,0.6109361644945732,-0.09906383550542674
weighted_recall,0.69,0.7534632034632035,0.06346320346320355
weighted_f1,0.7,0.5814635678585353,-0.1185364321414647
samples_precision,0.65,0.4949962937498657,-0.15500370625013432
samples_recall,0.68,0.7375432395849,0.05754323958489993
samples_f1,0.65,0.5547001556288667,-0.09529984437113337
exact_match_ratio,0.54,0.2737253722364265,-0.2662746277635735
hamming_score,0.62,0.47462328742596455,-0.14537671257403545
accuracy,0.89,0.7539103624605203,-0.13608963753947967
f1_info,0.41,0.3737142857142857,-0.036285714285714255
f1_priv,0.63,0.40216450216450217,-0.22783549783549784
f1_bypass,0.42,0.3496683861459101,-0.07033161385408987
f1_dos,0.81,0.7008113590263692,-0.1091886409736309
f1_exec,0.64,0.4859732412602503,-0.1540267587397497
f1_mem,0.7,0.3321501014198783,-0.3678498985801217
f1_overflow,0.67,0.6116400215555955,-0.05835997844440455
f1_other,0.69,0.26503923278116825,-0.4249607672188317
