metric,paper_base,reproduced_base,delta
micro_precision,0.71,0.8615209988649262,0.1515209988649262
micro_recall,0.69,0.8750960799385088,0.18509607993850885
micro_f1,0.7,0.8682554814108675,0.16825548141086755
macro_precision,0.65,0.7951566085196442,0.14515660851964418
macro_recall,0.6,0.7207950188229506,0.12079501882295063
macro_f1,0.62,0.74513520428147,0.12513520428146996
weighted_precision,0.71,0.8682935630332475,0.1582935630332475
weighted_recall,0.69,0.8750960799385088,0.18509607993850885
weighted_f1,0.7,0.8682943188739572,0.1682943188739573
samples_precision,0.65,0.848315351126254,0.19831535112625398
samples_recall,0.68,0.8675468483816013,0.1875468483816013
samples_f1,0.65,0.8465265947378382,0.19652659473783818
exact_match_ratio,0.54,0.75809199318569,0.21809199318568995
hamming_score,0.62,0.8246450880181714,0.20464508801817138
accuracy,0.89,0.9509511641113004,0.060951164111300415
f1_info,0.41,0.7306501547987616,0.32065015479876163
f1_priv,0.63,0.5588235294117647,-0.07117647058823529
f1_bypass,0.42,0.6883116883116883,0.26831168831168833
f1_dos,0.81,0.9229390681003584,0.11293906810035836
f1_exec,0.64,0.8576078112286412,0.21760781122864115
f1_mem,0.7,0.7047619047619048,0.004761904761904856
f1_overflow,0.67,0.8729874776386404,0.20298747763864033
f1_other,0.69,0.625,-0.06499999999999995
